directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,target_zone_hit,total_score,wrist_angle,elbow_angle,shoulder_angle,hand_pos_x,hand_pos_y,hand_pos_z,wrist_movement_filename,elbow_movement_filename,shoulder_movement_filename
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,1,1,1,29.87826,30.88863,Red,20,-21.71,95.27,-43.62,0.10,1.67,2.64,wrist_movement_T001.csv,elbow_movement_T001.csv,shoulder_movement_T001.csv
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,2,1,2,30.97706,31.77704,Blue,35,-1.62,58.94,-2.03,0.12,1.72,2.57,wrist_movement_T002.csv,elbow_movement_T002.csv,shoulder_movement_T002.csv
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,3,1,3,31.86513,32.69948,Red,55,-17.02,75.45,-18.16,0.08,1.71,2.66,wrist_movement_T003.csv,elbow_movement_T003.csv,shoulder_movement_T003.csv
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,4,2,1,32.84381,33.67776,Yellow,25,-10.29,65.17,-5.73,-0.03,1.72,2.65,wrist_movement_T004.csv,elbow_movement_T004.csv,shoulder_movement_T004.csv
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,5,2,2,33.74051,34.46543,Red,45,38.53,67.11,-59.06,0.14,1.70,2.65,wrist_movement_T005.csv,elbow_movement_T005.csv,shoulder_movement_T005.csv
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,6,2,3,34.53196,35.20898,Red,65,-23.35,93.65,-40.50,0.33,1.68,2.65,wrist_movement_T006.csv,elbow_movement_T006.csv,shoulder_movement_T006.csv
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,7,3,1,35.29612,36.76697,Red,20,44.80,11.19,-30.48,0.12,1.70,0.64,wrist_movement_T007.csv,elbow_movement_T007.csv,shoulder_movement_T007.csv
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,8,3,2,36.79417,38.03282,Red,40,-25.77,48.91,-7.06,0.10,1.75,0.54,wrist_movement_T008.csv,elbow_movement_T008.csv,shoulder_movement_T008.csv
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,9,3,3,38.19976,39.38861,Red,60,7.52,53.83,-31.54,0.15,1.75,0.59,wrist_movement_T009.csv,elbow_movement_T009.csv,shoulder_movement_T009.csv
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,10,4,1,39.53382,41.16759,Miss,0,-34.10,65.39,-35.27,0.14,1.71,0.59,wrist_movement_T010.csv,elbow_movement_T010.csv,shoulder_movement_T010.csv
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,11,4,2,41.25502,42.78939,Black,10,-48.03,89.65,-43.67,0.31,1.68,0.56,wrist_movement_T011.csv,elbow_movement_T011.csv,shoulder_movement_T011.csv
throwing_experiment/Example Participant 3/S001,throwing_experiment,Example Participant 3,1,12,4,3,43.13337,44.52128,Miss,10,-26.69,66.37,-37.35,0.07,1.66,0.72,wrist_movement_T012.csv,elbow_movement_T012.csv,shoulder_movement_T012.csv
