directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,target_zone_hit,total_score,wrist_angle,elbow_angle,shoulder_angle,hand_pos_x,hand_pos_y,hand_pos_z,wrist_movement_filename,elbow_movement_filename,shoulder_movement_filename
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,1,1,1,37.6027,38.72466,Red,20,-15.74,106.59,-54.73,0.09,1.66,2.68,wrist_movement_T001.csv,elbow_movement_T001.csv,shoulder_movement_T001.csv
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,2,1,2,38.81329,39.51371,Blue,35,-17.75,104.51,-42.63,0.11,1.69,2.63,wrist_movement_T002.csv,elbow_movement_T002.csv,shoulder_movement_T002.csv
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,3,1,3,39.58365,40.19073,Blue,50,-11.83,99.46,-54.24,0.10,1.69,2.67,wrist_movement_T003.csv,elbow_movement_T003.csv,shoulder_movement_T003.csv
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,4,2,1,40.27989,41.53531,Miss,0,-36.76,101.30,-28.73,0.03,1.68,2.70,wrist_movement_T004.csv,elbow_movement_T004.csv,shoulder_movement_T004.csv
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,5,2,2,41.65852,42.54732,Blue,15,-48.47,106.36,-26.48,0.25,1.69,2.63,wrist_movement_T005.csv,elbow_movement_T005.csv,shoulder_movement_T005.csv
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,6,2,3,42.64684,43.43457,Red,35,-32.81,58.92,-4.42,0.38,1.68,2.60,wrist_movement_T006.csv,elbow_movement_T006.csv,shoulder_movement_T006.csv
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,7,3,1,43.52421,45.03639,Miss,0,-11.71,68.72,-46.03,0.06,1.66,0.77,wrist_movement_T007.csv,elbow_movement_T007.csv,shoulder_movement_T007.csv
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,8,3,2,45.7138,46.95872,Blue,15,-45.18,75.43,-12.81,0.07,1.70,0.74,wrist_movement_T008.csv,elbow_movement_T008.csv,shoulder_movement_T008.csv
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,9,3,3,47.16022,48.07875,Red,35,-9.13,70.10,-42.83,0.08,1.72,0.76,wrist_movement_T009.csv,elbow_movement_T009.csv,shoulder_movement_T009.csv
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,10,4,1,48.20111,49.31555,Black,10,-39.74,79.48,-28.93,0.01,1.69,0.75,wrist_movement_T010.csv,elbow_movement_T010.csv,shoulder_movement_T010.csv
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,11,4,2,49.51451,50.40275,Blue,25,-20.22,30.12,9.74,0.23,1.73,0.69,wrist_movement_T011.csv,elbow_movement_T011.csv,shoulder_movement_T011.csv
throwing_experiment/Example Participant 4/S001,throwing_experiment,Example Participant 4,1,12,4,3,50.50177,52.09215,Miss,25,-21.35,52.10,-4.08,0.37,1.74,0.60,wrist_movement_T012.csv,elbow_movement_T012.csv,shoulder_movement_T012.csv
