directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,target_zone_hit,total_score,wrist_angle,elbow_angle,shoulder_angle,hand_pos_x,hand_pos_y,hand_pos_z,wrist_movement_filename,elbow_movement_filename,shoulder_movement_filename
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,1,1,1,8.891195,10.05726,Yellow,25,-30.65,104.93,-32.88,0.14,1.67,2.63,wrist_movement_T001.csv,elbow_movement_T001.csv,shoulder_movement_T001.csv
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,2,1,2,10.08515,10.89055,Red,45,-32.86,109.98,-31.05,0.10,1.71,2.69,wrist_movement_T002.csv,elbow_movement_T002.csv,shoulder_movement_T002.csv
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,3,1,3,11.03314,11.87949,Yellow,70,3.24,82.62,-53.62,0.07,1.70,2.71,wrist_movement_T003.csv,elbow_movement_T003.csv,shoulder_movement_T003.csv
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,4,2,1,12.02408,13.08835,Red,20,2.60,49.25,-0.77,-0.05,1.71,2.64,wrist_movement_T004.csv,elbow_movement_T004.csv,shoulder_movement_T004.csv
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,5,2,2,13.11366,13.8103,Red,40,-32.35,122.67,-52.01,0.13,1.71,2.67,wrist_movement_T005.csv,elbow_movement_T005.csv,shoulder_movement_T005.csv
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,6,2,3,13.85731,14.58833,Yellow,65,-36.72,128.31,-72.06,0.38,1.68,2.66,wrist_movement_T006.csv,elbow_movement_T006.csv,shoulder_movement_T006.csv
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,7,3,1,14.68134,16.23477,Yellow,25,-27.08,57.43,-3.15,0.07,1.71,0.72,wrist_movement_T007.csv,elbow_movement_T007.csv,shoulder_movement_T007.csv
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,8,3,2,16.28935,17.37859,White,30,-66.44,117.21,-39.07,0.06,1.69,0.75,wrist_movement_T008.csv,elbow_movement_T008.csv,shoulder_movement_T008.csv
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,9,3,3,17.70099,18.7468,Yellow,55,-37.92,69.21,-8.25,0.08,1.71,0.74,wrist_movement_T009.csv,elbow_movement_T009.csv,shoulder_movement_T009.csv
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,10,4,1,19.00171,20.1899,Red,20,-31.24,96.53,-37.59,0.02,1.69,0.73,wrist_movement_T010.csv,elbow_movement_T010.csv,shoulder_movement_T010.csv
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,11,4,2,20.33366,21.47918,Black,30,3.79,36.22,7.97,0.22,1.75,0.59,wrist_movement_T011.csv,elbow_movement_T011.csv,shoulder_movement_T011.csv
throwing_experiment/Example Participant 2/S001,throwing_experiment,Example Participant 2,1,12,4,3,21.62323,23.113,Red,50,-36.81,97.86,-28.34,0.19,1.71,0.63,wrist_movement_T012.csv,elbow_movement_T012.csv,shoulder_movement_T012.csv
