directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,target_zone_hit,total_score,wrist_angle,elbow_angle,shoulder_angle,hand_pos_x,hand_pos_y,hand_pos_z,wrist_movement_filename,elbow_movement_filename,shoulder_movement_filename
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,1,1,1,12.65194,13.49553,Red,20,-21.50,78.61,-13.45,0.13,1.68,2.64,wrist_movement_T001.csv,elbow_movement_T001.csv,shoulder_movement_T001.csv
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,2,1,2,13.52435,14.16227,Yellow,45,-29.68,61.09,-3.51,0.07,1.69,2.67,wrist_movement_T002.csv,elbow_movement_T002.csv,shoulder_movement_T002.csv
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,3,1,3,14.19524,14.79351,Blue,60,-61.98,102.89,-35.66,0.08,1.63,2.74,wrist_movement_T003.csv,elbow_movement_T003.csv,shoulder_movement_T003.csv
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,4,2,1,14.8386,16.09426,Miss,0,-31.11,63.61,-5.12,0.01,1.70,2.68,wrist_movement_T004.csv,elbow_movement_T004.csv,shoulder_movement_T004.csv
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,5,2,2,16.40558,17.29512,Blue,15,13.32,71.71,-52.00,0.31,1.70,2.57,wrist_movement_T005.csv,elbow_movement_T005.csv,shoulder_movement_T005.csv
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,6,2,3,17.34998,18.89597,Red,35,20.40,65.76,-36.22,0.22,1.74,2.52,wrist_movement_T006.csv,elbow_movement_T006.csv,shoulder_movement_T006.csv
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,7,3,1,18.95063,21.18527,Red,20,-29.26,66.57,-8.93,0.10,1.71,0.73,wrist_movement_T007.csv,elbow_movement_T007.csv,shoulder_movement_T007.csv
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,8,3,2,21.30717,22.41866,White,25,-26.93,67.19,-27.55,0.09,1.70,0.76,wrist_movement_T008.csv,elbow_movement_T008.csv,shoulder_movement_T008.csv
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,9,3,3,22.82963,24.02924,Black,35,-44.63,80.17,-18.35,0.09,1.69,0.76,wrist_movement_T009.csv,elbow_movement_T009.csv,shoulder_movement_T009.csv
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,10,4,1,24.79639,26.3195,Red,20,-13.82,53.94,2.88,0.11,1.72,0.71,wrist_movement_T010.csv,elbow_movement_T010.csv,shoulder_movement_T010.csv
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,11,4,2,26.51814,27.9836,Miss,20,-49.02,97.72,-45.98,0.29,1.68,0.72,wrist_movement_T011.csv,elbow_movement_T011.csv,shoulder_movement_T011.csv
throwing_experiment/Example Participant 0/S003,throwing_experiment,Example Participant 0,3,12,4,3,28.26108,29.50675,Blue,35,-34.08,88.27,-43.04,0.02,1.69,0.74,wrist_movement_T012.csv,elbow_movement_T012.csv,shoulder_movement_T012.csv
