directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,target_zone_hit,total_score,wrist_angle,elbow_angle,shoulder_angle,hand_pos_x,hand_pos_y,hand_pos_z,wrist_movement_filename,elbow_movement_filename,shoulder_movement_filename
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,1,1,1,14.84149,16.47322,Red,20,-20.74,116.16,-51.27,0.06,1.68,2.67,wrist_movement_T001.csv,elbow_movement_T001.csv,shoulder_movement_T001.csv
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,2,1,2,16.58431,17.44859,Red,40,-36.96,117.74,-37.15,0.09,1.70,2.69,wrist_movement_T002.csv,elbow_movement_T002.csv,shoulder_movement_T002.csv
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,3,1,3,17.55961,18.40509,Yellow,65,-30.43,122.62,-52.52,0.09,1.69,2.72,wrist_movement_T003.csv,elbow_movement_T003.csv,shoulder_movement_T003.csv
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,4,2,1,18.5045,19.49442,Red,20,-14.57,65.35,-7.86,-0.04,1.68,2.70,wrist_movement_T004.csv,elbow_movement_T004.csv,shoulder_movement_T004.csv
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,5,2,2,19.52354,20.18217,Blue,35,-41.94,64.92,-4.55,0.18,1.66,2.74,wrist_movement_T005.csv,elbow_movement_T005.csv,shoulder_movement_T005.csv
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,6,2,3,20.24908,20.89292,Yellow,60,-28.54,55.79,-1.09,0.33,1.69,2.67,wrist_movement_T006.csv,elbow_movement_T006.csv,shoulder_movement_T006.csv
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,7,3,1,20.94343,22.81726,Red,20,-44.27,108.67,-28.93,0.07,1.71,0.72,wrist_movement_T007.csv,elbow_movement_T007.csv,shoulder_movement_T007.csv
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,8,3,2,22.88375,23.93983,Black,30,-26.94,38.16,5.90,0.09,1.69,0.75,wrist_movement_T008.csv,elbow_movement_T008.csv,shoulder_movement_T008.csv
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,9,3,3,24.05268,25.08422,Blue,45,-22.53,41.13,3.96,0.13,1.69,0.73,wrist_movement_T009.csv,elbow_movement_T009.csv,shoulder_movement_T009.csv
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,10,4,1,25.27274,26.32837,White,5,-31.75,91.41,-41.87,0.03,1.68,0.76,wrist_movement_T010.csv,elbow_movement_T010.csv,shoulder_movement_T010.csv
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,11,4,2,26.63935,30.13044,Miss,5,-49.88,105.79,-43.60,0.15,1.69,0.76,wrist_movement_T011.csv,elbow_movement_T011.csv,shoulder_movement_T011.csv
throwing_experiment/Example Participant 0/S002,throwing_experiment,Example Participant 0,2,12,4,3,30.19837,32.51875,Miss,5,-37.41,45.74,2.18,-0.02,1.75,0.62,wrist_movement_T012.csv,elbow_movement_T012.csv,shoulder_movement_T012.csv
