directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,target_zone_hit,total_score,wrist_angle,elbow_angle,shoulder_angle,hand_pos_x,hand_pos_y,hand_pos_z,wrist_movement_filename,elbow_movement_filename,shoulder_movement_filename
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,1,1,1,77.14697,78.32442,Blue,15,-62.35,91.57,-16.56,0.11,1.65,2.71,wrist_movement_T001.csv,elbow_movement_T001.csv,shoulder_movement_T001.csv
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,2,1,2,78.48016,79.31348,Yellow,40,-53.72,98.11,-18.68,0.13,1.68,2.64,wrist_movement_T002.csv,elbow_movement_T002.csv,shoulder_movement_T002.csv
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,3,1,3,79.43406,80.34748,Yellow,65,-37.32,78.81,-13.23,0.12,1.67,2.62,wrist_movement_T003.csv,elbow_movement_T003.csv,shoulder_movement_T003.csv
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,4,2,1,80.45821,81.5582,Yellow,25,-41.87,88.49,-16.62,0.01,1.69,2.63,wrist_movement_T004.csv,elbow_movement_T004.csv,shoulder_movement_T004.csv
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,5,2,2,81.61267,82.42462,Yellow,50,-48.20,116.00,-42.30,0.27,1.70,2.64,wrist_movement_T005.csv,elbow_movement_T005.csv,shoulder_movement_T005.csv
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,6,2,3,82.54546,84.39185,Red,70,-58.41,112.75,-33.32,0.27,1.68,2.62,wrist_movement_T006.csv,elbow_movement_T006.csv,shoulder_movement_T006.csv
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,7,3,1,84.58002,85.94756,Red,20,-16.54,43.80,-0.65,0.11,1.69,0.67,wrist_movement_T007.csv,elbow_movement_T007.csv,shoulder_movement_T007.csv
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,8,3,2,86.13783,87.20212,White,25,-56.81,103.02,-38.22,0.15,1.67,0.73,wrist_movement_T008.csv,elbow_movement_T008.csv,shoulder_movement_T008.csv
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,9,3,3,87.46884,89.40304,Miss,25,-38.42,73.29,-9.38,0.15,1.79,0.49,wrist_movement_T009.csv,elbow_movement_T009.csv,shoulder_movement_T009.csv
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,10,4,1,89.42995,90.79197,Black,10,-7.40,73.90,-44.48,0.04,1.68,0.65,wrist_movement_T010.csv,elbow_movement_T010.csv,shoulder_movement_T010.csv
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,11,4,2,90.90629,91.85726,Black,20,-62.07,81.49,-13.19,0.19,1.69,0.67,wrist_movement_T011.csv,elbow_movement_T011.csv,shoulder_movement_T011.csv
throwing_experiment/Example Participant 5/S001,throwing_experiment,Example Participant 5,1,12,4,3,92.09042,93.32467,Yellow,45,1.88,71.04,-45.21,0.26,1.73,0.63,wrist_movement_T012.csv,elbow_movement_T012.csv,shoulder_movement_T012.csv
