directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,target_zone_hit,total_score,wrist_angle,elbow_angle,shoulder_angle,hand_pos_x,hand_pos_y,hand_pos_z,wrist_movement_filename,elbow_movement_filename,shoulder_movement_filename
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,1,1,1,79.47842,84.12309,Yellow,25,-38.41,113.82,-37.38,0.10,1.68,2.61,wrist_movement_T001.csv,elbow_movement_T001.csv,shoulder_movement_T001.csv
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,2,1,2,84.44703,85.5664,Yellow,50,-24.00,86.78,-18.66,0.08,1.70,2.62,wrist_movement_T002.csv,elbow_movement_T002.csv,shoulder_movement_T002.csv
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,3,1,3,85.76601,86.88882,Red,70,-45.05,100.63,-21.90,0.15,1.68,2.66,wrist_movement_T003.csv,elbow_movement_T003.csv,shoulder_movement_T003.csv
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,4,2,1,87.07956,88.27571,Red,20,-49.18,108.12,-25.95,0.06,1.69,2.68,wrist_movement_T004.csv,elbow_movement_T004.csv,shoulder_movement_T004.csv
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,5,2,2,88.46464,89.76626,Red,40,-54.92,103.58,-22.27,0.37,1.72,2.55,wrist_movement_T005.csv,elbow_movement_T005.csv,shoulder_movement_T005.csv
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,6,2,3,90.06626,91.35394,Blue,55,-63.04,114.91,-35.27,0.08,1.67,2.69,wrist_movement_T006.csv,elbow_movement_T006.csv,shoulder_movement_T006.csv
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,7,3,1,91.52087,92.79903,White,5,-22.69,25.90,11.69,0.08,1.70,0.71,wrist_movement_T007.csv,elbow_movement_T007.csv,shoulder_movement_T007.csv
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,8,3,2,92.9984,94.15497,White,10,-22.44,71.89,-6.36,0.08,1.75,0.61,wrist_movement_T008.csv,elbow_movement_T008.csv,shoulder_movement_T008.csv
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,9,3,3,94.3102,95.74464,Red,30,-63.98,103.66,-23.48,0.07,1.71,0.57,wrist_movement_T009.csv,elbow_movement_T009.csv,shoulder_movement_T009.csv
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,10,4,1,95.92149,97.36653,Blue,15,-20.69,87.16,-29.31,0.02,1.71,0.66,wrist_movement_T010.csv,elbow_movement_T010.csv,shoulder_movement_T010.csv
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,11,4,2,97.44398,99.02166,Yellow,40,-54.33,95.04,-16.38,0.20,1.78,0.42,wrist_movement_T011.csv,elbow_movement_T011.csv,shoulder_movement_T011.csv
throwing_experiment/Example Participant 0/S001,throwing_experiment,Example Participant 0,1,12,4,3,99.13195,101.1325,Miss,40,-54.50,99.43,-42.43,0.08,1.78,0.54,wrist_movement_T012.csv,elbow_movement_T012.csv,shoulder_movement_T012.csv
