directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,target_zone_hit,total_score,wrist_angle,elbow_angle,shoulder_angle,hand_pos_x,hand_pos_y,hand_pos_z,wrist_movement_filename,elbow_movement_filename,shoulder_movement_filename
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,1,1,1,53.9829,55.73757,Red,20,-22.95,81.43,-19.79,0.03,1.68,2.62,wrist_movement_T001.csv,elbow_movement_T001.csv,shoulder_movement_T001.csv
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,2,1,2,55.88655,56.74689,Red,40,2.62,85.82,-57.10,0.08,1.68,2.66,wrist_movement_T002.csv,elbow_movement_T002.csv,shoulder_movement_T002.csv
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,3,1,3,56.85735,57.80353,Blue,55,-10.03,69.99,-14.43,0.11,1.69,2.59,wrist_movement_T003.csv,elbow_movement_T003.csv,shoulder_movement_T003.csv
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,4,2,1,57.90771,58.97025,Yellow,25,-12.96,66.09,-11.98,0.00,1.68,2.59,wrist_movement_T004.csv,elbow_movement_T004.csv,shoulder_movement_T004.csv
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,5,2,2,59.07114,59.81468,Red,45,-29.23,86.63,-23.33,0.21,1.67,2.61,wrist_movement_T005.csv,elbow_movement_T005.csv,shoulder_movement_T005.csv
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,6,2,3,59.94071,60.72514,Black,55,-17.47,89.52,-39.42,0.37,1.69,2.52,wrist_movement_T006.csv,elbow_movement_T006.csv,shoulder_movement_T006.csv
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,7,3,1,60.88129,62.25977,Red,20,-37.99,98.20,-33.13,0.09,1.67,0.64,wrist_movement_T007.csv,elbow_movement_T007.csv,shoulder_movement_T007.csv
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,8,3,2,62.34858,63.32655,Blue,35,-24.89,78.26,-36.77,0.10,1.68,0.74,wrist_movement_T008.csv,elbow_movement_T008.csv,shoulder_movement_T008.csv
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,9,3,3,63.42604,64.47057,Blue,50,-24.26,58.53,-15.62,0.09,1.73,0.72,wrist_movement_T009.csv,elbow_movement_T009.csv,shoulder_movement_T009.csv
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,10,4,1,64.69347,65.80399,Red,20,-11.52,72.84,-36.93,0.00,1.71,0.71,wrist_movement_T010.csv,elbow_movement_T010.csv,shoulder_movement_T010.csv
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,11,4,2,65.81815,66.74567,Yellow,45,-22.54,33.66,6.53,0.19,1.73,0.71,wrist_movement_T011.csv,elbow_movement_T011.csv,shoulder_movement_T011.csv
throwing_experiment/Example Participant 7/S001,throwing_experiment,Example Participant 7,1,12,4,3,66.79535,67.63604,Black,55,-20.00,44.06,-2.47,0.33,1.74,0.65,wrist_movement_T012.csv,elbow_movement_T012.csv,shoulder_movement_T012.csv
